year,day_of_year,label,count
2021,175,ad,21
2021,177,ad,19
2021,178,ad,1
2021,179,ad,18
2021,180,ad,10
2021,180,not_ad,3
2021,181,ad,31
2021,182,ad,276
2021,182,promo,2
2021,182,not_ad,155
2021,183,ad,291
2021,183,not_ad,137
2021,184,ad,225
2021,184,promo,1
2021,184,not_ad,57
2021,185,ad,348
2021,185,promo,4
2021,185,not_ad,127
2021,186,ad,338
2021,186,promo,1
2021,186,not_ad,50
2021,187,ad,228
2021,187,promo,1
2021,187,not_ad,96
2021,188,ad,324
2021,188,promo,1
2021,188,not_ad,163
2021,189,ad,111
2021,189,not_ad,11
2021,190,ad,239
2021,190,not_ad,58
2021,191,ad,254
2021,191,not_ad,68
2021,192,ad,205
2021,192,not_ad,84
2021,193,ad,413
2021,193,not_ad,98
2021,194,ad,467
2021,194,not_ad,223
2021,195,ad,457
2021,195,promo,1
2021,195,not_ad,266
2021,196,ad,708
2021,196,promo,1
2021,196,not_ad,315
2021,197,ad,977
2021,197,promo,8
2021,197,not_ad,350
2021,198,ad,824
2021,198,promo,6
2021,198,not_ad,170
2021,199,ad,995
2021,199,promo,6
2021,199,not_ad,180
2021,200,ad,1126
2021,200,promo,19
2021,200,not_ad,270
2021,201,ad,1271
2021,201,promo,15
2021,201,not_ad,341
2021,202,ad,1264
2021,202,promo,21
2021,202,not_ad,326
2021,203,ad,1213
2021,203,promo,25
2021,203,not_ad,309
2021,204,ad,1305
2021,204,promo,27
2021,204,not_ad,276
2021,205,ad,1387
2021,205,promo,5
2021,205,not_ad,147
2021,206,ad,1500
2021,206,promo,18
2021,206,not_ad,162
2021,207,ad,1923
2021,207,promo,35
2021,207,not_ad,221
2021,208,ad,1973
2021,208,promo,21
2021,208,not_ad,175
2021,209,ad,2152
2021,209,promo,18
2021,209,not_ad,179
2021,210,ad,2178
2021,210,promo,13
2021,210,not_ad,145
2021,211,ad,2036
2021,211,promo,21
2021,211,not_ad,168
2021,212,ad,2209
2021,212,promo,55
2021,212,not_ad,112
2021,213,ad,2662
2021,213,promo,45
2021,213,not_ad,98
2021,214,ad,2783
2021,214,promo,32
2021,214,not_ad,101
2021,215,ad,3038
2021,215,promo,23
2021,215,not_ad,110
2021,216,ad,2961
2021,216,promo,19
2021,216,not_ad,72
2021,217,ad,2824
2021,217,promo,23
2021,217,not_ad,90
2021,218,ad,2120
2021,218,promo,26
2021,218,not_ad,60
2021,219,ad,2989
2021,219,promo,21
2021,219,not_ad,114
2021,220,ad,3123
2021,220,promo,15
2021,220,not_ad,84
2021,221,ad,3725
2021,221,promo,38
2021,221,not_ad,107
2021,222,ad,3862
2021,222,promo,45
2021,222,not_ad,168
2021,223,ad,3822
2021,223,promo,49
2021,223,not_ad,133
2021,224,ad,3981
2021,224,promo,70
2021,224,not_ad,150
2021,225,ad,4049
2021,225,promo,99
2021,225,not_ad,254
2021,226,ad,4058
2021,226,promo,89
2021,226,not_ad,226
2021,227,ad,4254
2021,227,promo,101
2021,227,not_ad,249
2021,228,ad,5007
2021,228,promo,138
2021,228,not_ad,202
2021,229,ad,4850
2021,229,promo,132
2021,229,not_ad,196
2021,230,ad,5347
2021,230,promo,109
2021,230,not_ad,222
2021,231,ad,5604
2021,231,promo,100
2021,231,not_ad,238
2021,232,ad,6119
2021,232,promo,108
2021,232,not_ad,217
2021,233,ad,5863
2021,233,promo,105
2021,233,not_ad,197
2021,234,ad,7010
2021,234,promo,138
2021,234,not_ad,230
2021,235,ad,6656
2021,235,promo,158
2021,235,not_ad,298
2021,236,ad,9988
2021,236,promo,250
2021,236,not_ad,423
2021,237,ad,7547
2021,237,promo,165
2021,237,not_ad,410
2021,238,ad,7551
2021,238,promo,195
2021,238,not_ad,490
2021,239,ad,11016
2021,239,promo,299
2021,239,not_ad,937
2021,240,ad,8312
2021,240,promo,260
2021,240,not_ad,752
2021,241,ad,8622
2021,241,promo,475
2021,241,not_ad,747
2021,242,ad,9590
2021,242,promo,769
2021,242,not_ad,985
2021,243,ad,10616
2021,243,promo,1132
2021,243,not_ad,2688
2021,244,ad,11621
2021,244,promo,1201
2021,244,not_ad,4602
2021,245,ad,11845
2021,245,promo,1198
2021,245,not_ad,4603
2021,246,ad,12398
2021,246,promo,1233
2021,246,not_ad,4155
2021,247,ad,12125
2021,247,promo,1218
2021,247,not_ad,3458
2021,248,ad,11363
2021,248,promo,1130
2021,248,not_ad,3610
2021,249,ad,11434
2021,249,promo,1110
2021,249,not_ad,3959
2021,250,ad,11585
2021,250,promo,1167
2021,250,not_ad,4345
2021,251,ad,10617
2021,251,promo,1049
2021,251,not_ad,4251
2021,252,ad,11218
2021,252,promo,1208
2021,252,not_ad,4028
2021,253,ad,12323
2021,253,promo,1057
2021,253,not_ad,4299
2021,254,ad,11868
2021,254,promo,897
2021,254,not_ad,3810
2021,255,ad,14834
2021,255,promo,964
2021,255,not_ad,4748
2021,256,ad,11954
2021,256,promo,874
2021,256,not_ad,4387
2021,257,ad,12234
2021,257,promo,931
2021,257,not_ad,4205
2021,258,ad,12414
2021,258,promo,840
2021,258,not_ad,4534
2021,259,ad,12426
2021,259,promo,679
2021,259,not_ad,4354
2021,260,ad,12876
2021,260,promo,568
2021,260,not_ad,4105
2021,261,ad,12814
2021,261,promo,479
2021,261,not_ad,4136
2021,262,ad,12391
2021,262,promo,410
2021,262,not_ad,4252
2021,263,ad,11879
2021,263,promo,404
2021,263,not_ad,5389
2021,264,ad,12182
2021,264,promo,431
2021,264,not_ad,4848
2021,265,ad,12184
2021,265,promo,380
2021,265,not_ad,4559
2021,266,ad,11862
2021,266,promo,469
2021,266,not_ad,4821
2021,267,ad,12102
2021,267,promo,565
2021,267,not_ad,4816
2021,268,ad,11777
2021,268,promo,553
2021,268,not_ad,4095
2021,269,ad,14602
2021,269,promo,616
2021,269,not_ad,5441
2021,270,ad,11723
2021,270,promo,511
2021,270,not_ad,4488
2021,271,ad,9228
2021,271,promo,380
2021,271,not_ad,3566
2021,272,ad,12985
2021,272,promo,655
2021,272,not_ad,4596
2021,273,ad,12099
2021,273,promo,506
2021,273,not_ad,4100
2021,274,ad,12757
2021,274,promo,512
2021,274,not_ad,4198
2021,275,ad,12637
2021,275,promo,487
2021,275,not_ad,3573
2021,276,ad,12709
2021,276,promo,422
2021,276,not_ad,3754
